group,final_stress_fixator,final_stress_bone,final_stress_callus,final_gap_strain
Flexible Fixator,48889.932446268365,25464.75282125399,25352.115756134357,1.4084507900121032e-06
Standard Fixator,64919.40243981469,17572.0512846291,16981.146281064328,9.4339653471365e-07
Rigid Fixator,77847.13220577562,11299.98178886844,10227.319483090208,5.681824145272104e-07
